lambda,P@5,R@5,F1@5,P@M,R@M,F1@M,ILD,SR,Runtime(ms),F1@5(Present),F1@5(Absent)
0.0,0.2021,0.2389,0.2148,0.21,0.2108,0.2103,0.2554,0.6931,106.71,0.252,0.0253
0.1,0.2021,0.2394,0.2151,0.2124,0.2133,0.2128,0.2554,0.6931,105.5,0.2525,0.0253
0.2,0.2011,0.2436,0.2152,0.2107,0.2116,0.2111,0.2554,0.7037,106.12,0.2525,0.0253
0.3,0.2011,0.2429,0.2148,0.2131,0.214,0.2135,0.2554,0.6825,106.43,0.2518,0.0257
0.4,0.2011,0.242,0.2144,0.2107,0.2116,0.2111,0.2552,0.672,106.41,0.2525,0.0236
0.5,0.2021,0.2412,0.2149,0.2168,0.2179,0.2173,0.2549,0.6561,103.41,0.2532,0.0228
0.6,0.2063,0.2487,0.2205,0.2192,0.2203,0.2196,0.2546,0.6561,108.42,0.2572,0.0261
0.7,0.2,0.2403,0.2135,0.209,0.2101,0.2095,0.2541,0.672,116.91,0.2474,0.0274
0.8,0.1926,0.2329,0.2062,0.1987,0.1998,0.1991,0.253,0.672,121.22,0.2346,0.03
0.9,0.1894,0.2285,0.2025,0.2048,0.2059,0.2053,0.2527,0.6667,124.76,0.2331,0.0282
1.0,0.1905,0.2305,0.2038,0.1932,0.1943,0.1937,0.2524,0.6614,110.56,0.231,0.03
